Episode,Score,Avg_Score_100
216,-17.90793650793635,-14.324533736493136
217,-4.040322580645708,-14.184584021123124
218,-16.1921052631577,-14.165838407088035
219,20.259550561796946,-13.783957187184356
220,-17.992307692307605,-13.769299618946143
221,-17.966666666666413,-13.770707026353548
222,-18.0262295081965,-13.771135988102182
223,-17.944067796610327,-13.76971851003992
224,13.502510460250358,-13.45645963920365
225,-18.036305732483832,-13.456506907054807
226,-18.057534246575194,-13.45683663548547
227,-18.01761006289291,-13.45682085419558
228,-18.016422287389883,-13.457632964393422
229,-18.018518518518274,-13.422002057624582
230,-18.086206896551474,-13.423366027730783
231,-18.054054054053797,-13.423730097683087
232,-18.052631578947096,-13.424991395804721
233,-18.036363636363365,-13.427035883232184
234,24.34146341463311,-13.003680072615268
235,-18.033898305084477,-13.004989093119299
236,-17.933333333333174,-13.004970313776578
237,-18.040540540540473,-13.004441725782643
238,21.100813008129524,-12.614216470319084
239,10.141121495326752,-12.333854725330484
240,-17.963309352517722,-12.333940649044344
241,21.51312741312646,-11.937963221066923
242,-18.06309148264964,-11.938594135893425
243,-17.917610062892837,-12.205632690053955
244,-17.975432525951298,-12.206499643299816
245,-17.958739255014244,-12.20645127426056
246,14.733333333332782,-11.878770508903063
247,-17.93899371069161,-11.878385798122654
248,-17.99900332225905,-11.879198526380712
249,22.76721311475348,-11.470526395233177
250,-18.097833935017967,-11.47162747826567
251,10.097003745318037,-11.192042599823091
252,-18.035640138408056,-11.19287582239923
253,-17.986705202312095,-11.192251646352181
254,-17.903244837757917,-11.192254132182947
255,10.055555555555532,-10.912545202394265
256,21.84362139917654,-10.514610694887145
257,-17.94732824427458,-10.514417310663223
258,20.449999999999598,-10.12937014085191
259,-17.999369085173296,-10.134129565969378
260,10.19593495934904,-10.11420134478056
261,14.032490974728852,-9.79361895000333
262,-17.864935064934862,-9.792738888887975
263,-18.038834951456078,-9.772843656312984
264,-18.092452830188908,-9.774270085755562
265,13.24106463878292,-9.462813687733746
266,10.385185185185192,-9.178331583781056
267,16.836363636363128,-8.829096152545631
268,8.26808510638292,-8.565546614613119
269,14.987755102040365,-8.251322909746564
270,9.884210526315456,-8.389108255463793
271,-15.657017543859387,-8.627140881495272
272,44.030769230767945,-7.992251471736069
273,15.150533807829023,-7.661001772755526
274,14.847908745246574,-7.333392250520454
275,59.8205882352967,-6.555436368167488
276,33.63846153846078,-6.372662239674263
277,14.878595317725225,-6.045747452141184
278,18.623076923076354,-5.678941340444669
279,9.102166064981697,-5.409125287271488
